tick,timestamp,speed_ms,location_x,location_y,control_mode,collision,lane_invasion,is_avoiding
1,0.0007226467132568359,3.28,-67.72,132.04,autopilot,False,False,False
2,0.021613597869873047,3.32,-67.78,132.04,autopilot,False,False,False
3,0.04247713088989258,3.37,-67.85,132.04,autopilot,False,False,False
4,0.0633547306060791,3.42,-67.92,132.05,autopilot,False,False,False
5,0.08395814895629883,3.46,-67.99,132.05,autopilot,False,False,False
6,0.10515236854553223,3.51,-68.07,132.05,autopilot,False,False,False
7,0.1272575855255127,3.57,-68.15,132.06,autopilot,False,False,False
8,0.14944100379943848,3.62,-68.22,132.06,autopilot,False,False,False
9,0.17188549041748047,3.67,-68.31,132.07,autopilot,False,False,False
10,0.1947033405303955,3.72,-68.39,132.07,autopilot,False,False,False
11,0.21534132957458496,3.77,-68.47,132.07,autopilot,False,False,False
12,0.23809170722961426,3.82,-68.55,132.08,autopilot,False,False,False
13,0.26012539863586426,3.87,-68.64,132.08,autopilot,False,False,False
14,0.28240156173706055,3.92,-68.72,132.08,autopilot,False,False,False
15,0.3036162853240967,3.97,-68.81,132.09,autopilot,False,False,False
16,0.3264780044555664,4.02,-68.9,132.09,autopilot,False,False,False
17,0.34794139862060547,4.07,-68.99,132.1,autopilot,False,False,False
18,0.3690662384033203,4.12,-69.07,132.1,autopilot,False,False,False
19,0.3908226490020752,4.16,-69.16,132.1,autopilot,False,False,False
20,0.41158461570739746,4.18,-69.25,132.11,autopilot,False,False,False
21,0.432981014251709,4.17,-69.34,132.11,autopilot,False,False,False
22,0.45733213424682617,4.14,-69.44,132.12,autopilot,False,False,False
23,0.4806854724884033,4.07,-69.53,132.12,autopilot,False,False,False
24,0.5031471252441406,3.98,-69.63,132.12,autopilot,False,False,False
25,0.5267176628112793,3.87,-69.72,132.13,autopilot,False,False,False
26,0.5500984191894531,3.72,-69.8,132.13,autopilot,False,False,False
27,0.5725696086883545,3.57,-69.89,132.13,autopilot,False,False,False
28,0.5951995849609375,3.42,-69.96,132.14,autopilot,False,False,False
29,0.6169188022613525,3.26,-70.04,132.14,autopilot,False,False,False
30,0.6397008895874023,3.1,-70.11,132.14,autopilot,False,False,False
31,0.6609630584716797,2.94,-70.17,132.14,autopilot,False,False,False
32,0.6843626499176025,2.76,-70.24,132.15,autopilot,False,False,False
33,0.7070081233978271,2.61,-70.3,132.15,autopilot,False,False,False
34,0.7290182113647461,2.49,-70.35,132.15,autopilot,False,False,False
35,0.750734806060791,2.37,-70.41,132.15,autopilot,False,False,False
36,0.7735798358917236,2.28,-70.46,132.15,autopilot,False,False,False
37,0.7956969738006592,2.19,-70.51,132.16,autopilot,False,False,False
38,0.8159797191619873,2.14,-70.55,132.16,autopilot,False,False,False
39,0.8379213809967041,2.1,-70.6,132.16,autopilot,False,False,False
40,0.8586392402648926,2.08,-70.64,132.16,autopilot,False,False,False
41,0.8799600601196289,2.07,-70.69,132.16,autopilot,False,False,False
42,0.9034967422485352,2.06,-70.74,132.16,autopilot,False,False,False
43,0.924731969833374,2.06,-70.78,132.16,autopilot,False,False,False
44,0.9459199905395508,2.07,-70.82,132.17,autopilot,False,False,False
45,0.9671101570129395,2.08,-70.87,132.17,autopilot,False,False,False
46,0.9887187480926514,2.1,-70.91,132.17,autopilot,False,False,False
47,1.0099236965179443,2.12,-70.96,132.17,autopilot,False,False,False
48,1.033935546875,2.14,-71.01,132.17,autopilot,False,False,False
49,1.0560848712921143,2.16,-71.06,132.17,autopilot,False,False,False
50,1.0794663429260254,2.18,-71.1,132.17,autopilot,False,False,False
51,1.1010560989379883,2.21,-71.15,132.17,autopilot,False,False,False
52,1.1227166652679443,2.24,-71.2,132.18,autopilot,False,False,False
53,1.1449403762817383,2.26,-71.25,132.18,autopilot,False,False,False
54,1.1671216487884521,2.28,-71.3,132.18,autopilot,False,False,False
55,1.1885943412780762,2.3,-71.34,132.18,autopilot,False,False,False
56,1.2098822593688965,2.33,-71.4,132.18,autopilot,False,False,False
57,1.2323877811431885,2.35,-71.45,132.18,autopilot,False,False,False
58,1.2544965744018555,2.37,-71.51,132.18,autopilot,False,False,False
59,1.2769320011138916,2.38,-71.56,132.19,autopilot,False,False,False
60,1.2984769344329834,2.39,-71.61,132.19,stopped,False,False,False
61,1.3205735683441162,2.38,-71.66,132.19,stopped,False,False,False
62,1.3425977230072021,2.34,-71.72,132.19,stopped,False,False,False
63,1.3642566204071045,2.28,-71.77,132.19,stopped,False,False,False
64,1.3862519264221191,2.2,-71.82,132.19,stopped,False,False,False
65,1.4097390174865723,2.1,-71.86,132.2,stopped,False,False,False
66,1.43044114112854,1.97,-71.91,132.2,stopped,False,False,False
67,1.451582431793213,1.83,-71.95,132.2,stopped,False,False,False
68,1.4723353385925293,1.67,-71.98,132.2,stopped,False,False,False
69,1.4939088821411133,1.52,-72.02,132.2,stopped,False,False,False
70,1.514575481414795,1.37,-72.05,132.2,stopped,False,False,False
71,1.5360517501831055,1.21,-72.07,132.2,stopped,False,False,False
72,1.5576446056365967,1.05,-72.1,132.2,stopped,False,False,False
73,1.5810546875,0.88,-72.12,132.2,stopped,False,False,False
74,1.60302734375,0.71,-72.14,132.2,stopped,False,False,False
75,1.6246471405029297,0.55,-72.15,132.21,stopped,False,False,False
76,1.6492133140563965,0.38,-72.16,132.21,stopped,False,False,False
77,1.6698939800262451,0.02,-72.17,132.21,stopped,False,False,False
78,1.6909444332122803,0.0,-72.17,132.21,stopped,False,False,False
79,1.7125287055969238,0.0,-72.17,132.21,stopped,False,False,False
80,1.7343993186950684,0.0,-72.17,132.21,stopped,False,False,False
81,1.755462884902954,0.0,-72.17,132.21,stopped,False,False,False
82,1.7795326709747314,0.0,-72.17,132.21,stopped,False,False,False
83,1.80039381980896,0.0,-72.17,132.21,stopped,False,False,False
84,1.8207988739013672,0.0,-72.17,132.21,stopped,False,False,False
85,1.8443324565887451,0.0,-72.17,132.21,stopped,False,False,False
86,1.8681929111480713,0.0,-72.17,132.21,stopped,False,False,False
87,1.8903484344482422,0.0,-72.17,132.21,stopped,False,False,False
88,1.9122374057769775,0.0,-72.17,132.21,stopped,False,False,False
89,1.933190107345581,0.0,-72.17,132.21,stopped,False,False,False
90,1.9569475650787354,0.0,-72.17,132.21,stopped,False,False,False
91,1.9775447845458984,0.0,-72.17,132.21,stopped,False,False,False
92,1.9981818199157715,0.0,-72.17,132.21,stopped,False,False,False
93,2.018846035003662,0.0,-72.17,132.21,stopped,False,False,False
94,2.039884090423584,0.0,-72.17,132.21,stopped,False,False,False
95,2.060535192489624,0.0,-72.17,132.21,stopped,False,False,False
96,2.0839059352874756,0.0,-72.17,132.21,stopped,False,False,False
97,2.1072940826416016,0.0,-72.17,132.21,stopped,False,False,False
98,2.1287310123443604,0.0,-72.17,132.21,stopped,False,False,False
99,2.149563789367676,0.0,-72.17,132.21,stopped,False,False,False
100,2.171297788619995,0.0,-72.17,132.21,stopped,False,False,False
101,2.1936023235321045,0.0,-72.17,132.21,stopped,False,False,False
102,2.2144014835357666,0.0,-72.17,132.21,stopped,False,False,False
103,2.2370293140411377,0.0,-72.17,132.21,stopped,False,False,False
104,2.2594802379608154,0.0,-72.17,132.21,stopped,False,False,False
105,2.2814972400665283,0.0,-72.17,132.21,stopped,False,False,False
106,2.3035318851470947,0.0,-72.17,132.21,stopped,False,False,False
107,2.3248324394226074,0.0,-72.17,132.21,stopped,False,False,False
108,2.347057342529297,0.0,-72.17,132.21,stopped,False,False,False
109,2.3686726093292236,0.0,-72.17,132.21,stopped,False,False,False
110,2.389556646347046,0.0,-72.17,132.21,stopped,False,False,False
111,2.4106807708740234,0.0,-72.17,132.21,stopped,False,False,False
112,2.4322566986083984,0.0,-72.17,132.21,stopped,False,False,False
113,2.4533960819244385,0.0,-72.17,132.21,stopped,False,False,False
114,2.475822925567627,0.0,-72.17,132.21,stopped,False,False,False
115,2.497743844985962,0.0,-72.17,132.21,stopped,False,False,False
116,2.519163131713867,0.0,-72.17,132.21,stopped,False,False,False
117,2.5401158332824707,0.0,-72.17,132.21,stopped,False,False,False
118,2.561094045639038,0.0,-72.17,132.21,stopped,False,False,False
119,2.5821735858917236,0.0,-72.17,132.21,stopped,False,False,False
120,2.603867530822754,0.0,-72.17,132.21,stopped,False,False,False
121,2.6253631114959717,0.0,-72.17,132.21,stopped,False,False,False
122,2.646718740463257,0.0,-72.17,132.21,stopped,False,False,False
123,2.6678366661071777,0.0,-72.17,132.21,stopped,False,False,False
124,2.6885175704956055,0.0,-72.17,132.21,stopped,False,False,False
125,2.7108421325683594,0.0,-72.17,132.21,stopped,False,False,False
126,2.732372760772705,0.0,-72.17,132.21,stopped,False,False,False
127,2.753830909729004,0.0,-72.17,132.21,stopped,False,False,False
