tick,timestamp,speed_ms,location_x,location_y,control_mode,collision,lane_invasion,is_avoiding
1,0.008881568908691406,2.44,-74.62,-92.62,autopilot,False,False,False
2,0.02947545051574707,2.5,-74.62,-92.68,autopilot,False,False,False
3,0.049932241439819336,2.55,-74.62,-92.74,autopilot,False,False,False
4,0.07159590721130371,2.6,-74.62,-92.79,autopilot,False,False,False
5,0.09575414657592773,2.65,-74.62,-92.85,autopilot,False,False,False
6,0.11756300926208496,2.7,-74.62,-92.92,autopilot,False,False,False
7,0.1398625373840332,2.76,-74.62,-92.98,autopilot,False,False,False
8,0.16225433349609375,2.81,-74.62,-93.04,autopilot,False,False,False
9,0.18267297744750977,2.85,-74.62,-93.1,autopilot,False,False,False
10,0.20319294929504395,2.9,-74.62,-93.15,autopilot,False,False,False
11,0.223771333694458,2.95,-74.62,-93.22,autopilot,False,False,False
12,0.24536657333374023,2.99,-74.62,-93.28,autopilot,False,False,False
13,0.2679429054260254,3.05,-74.62,-93.35,autopilot,False,False,False
14,0.2899296283721924,3.09,-74.62,-93.42,autopilot,False,False,False
15,0.3111989498138428,3.14,-74.62,-93.48,autopilot,False,False,False
16,0.3329775333404541,3.19,-74.62,-93.55,autopilot,False,False,False
17,0.35440683364868164,3.24,-74.62,-93.62,autopilot,False,False,False
18,0.3752009868621826,3.28,-74.62,-93.69,autopilot,False,False,False
19,0.3976428508758545,3.33,-74.62,-93.76,autopilot,False,False,False
20,0.4179880619049072,3.38,-74.62,-93.83,autopilot,False,False,False
21,0.43976449966430664,3.43,-74.62,-93.9,autopilot,False,False,False
22,0.4603447914123535,3.47,-74.62,-93.98,autopilot,False,False,False
23,0.4806981086730957,3.52,-74.62,-94.05,autopilot,False,False,False
24,0.5015878677368164,3.56,-74.62,-94.12,autopilot,False,False,False
25,0.522465705871582,3.61,-74.62,-94.2,autopilot,False,False,False
26,0.5434374809265137,3.65,-74.62,-94.27,autopilot,False,False,False
27,0.564673662185669,3.7,-74.62,-94.35,autopilot,False,False,False
28,0.5854005813598633,3.75,-74.62,-94.43,autopilot,False,False,False
29,0.607877254486084,3.79,-74.62,-94.51,autopilot,False,False,False
30,0.629225492477417,3.84,-74.62,-94.59,autopilot,False,False,False
31,0.6503567695617676,3.89,-74.62,-94.68,autopilot,False,False,False
32,0.6716518402099609,3.93,-74.62,-94.76,autopilot,False,False,False
33,0.6933145523071289,3.98,-74.62,-94.84,autopilot,False,False,False
34,0.7150235176086426,4.02,-74.62,-94.93,autopilot,False,False,False
35,0.7365899085998535,4.07,-74.62,-95.02,autopilot,False,False,False
36,0.7585699558258057,4.11,-74.62,-95.11,autopilot,False,False,False
37,0.7788455486297607,4.15,-74.62,-95.19,autopilot,False,False,False
38,0.7991809844970703,4.19,-74.63,-95.28,autopilot,False,False,False
39,0.8208341598510742,4.23,-74.63,-95.37,autopilot,False,False,False
40,0.842684268951416,4.27,-74.63,-95.46,autopilot,False,False,False
41,0.8642897605895996,4.31,-74.63,-95.56,autopilot,False,False,False
42,0.885840654373169,4.35,-74.63,-95.65,autopilot,False,False,False
43,0.9062750339508057,4.38,-74.63,-95.74,autopilot,False,False,False
44,0.927405834197998,4.41,-74.63,-95.83,autopilot,False,False,False
45,0.9484767913818359,4.44,-74.63,-95.92,autopilot,False,False,False
46,0.9708335399627686,4.47,-74.63,-96.02,autopilot,False,False,False
47,0.992999792098999,4.5,-74.63,-96.12,autopilot,False,False,False
48,1.014291763305664,4.52,-74.63,-96.22,autopilot,False,False,False
49,1.0358731746673584,4.55,-74.63,-96.32,autopilot,False,False,False
50,1.0567796230316162,4.57,-74.63,-96.41,autopilot,False,False,False
51,1.0775277614593506,4.59,-74.63,-96.51,autopilot,False,False,False
52,1.0983123779296875,4.61,-74.63,-96.6,autopilot,False,False,False
53,1.1192398071289062,4.63,-74.63,-96.7,autopilot,False,False,False
54,1.1402218341827393,4.64,-74.63,-96.8,autopilot,False,False,False
55,1.1609175205230713,4.66,-74.63,-96.89,autopilot,False,False,False
56,1.1817097663879395,4.67,-74.63,-96.99,autopilot,False,False,False
57,1.2036030292510986,4.68,-74.63,-97.09,autopilot,False,False,False
